name,range,battery_useable
VOLVO XC40 RECHARGE SINGLE MOTOR,345,66.0
MAXUS MIFA 9,345,90.0
MERCEDES EQB 250,345,66.5
TESLA MODEL Y,345,57.5
FORD MUSTANG MACH-E SR AWD,345,70.0
CUPRA BORN 170 KW - 58 KWH,345,58.0
ORA FUNKY CAT 63 KWH,340,59.3
NISSAN LEAF E+,340,59.0
NIO EL7 75 KWH,340,70.5
MERCEDES EQB 300 4MATIC,335,66.5
TOYOTA BZ4X FWD,335,64.0
SKODA ENYAQ COUPE IV 60,335,58.0
MG MG5 ELECTRIC LONG RANGE,335,57.4
MERCEDES EQB 350 4MATIC,335,66.5
MG MARVEL R,335,65.0
ORA FUNKY CAT GT,330,59.3
TOYOTA BZ4X AWD,330,64.0
VOLKSWAGEN ID. BUZZ PRO,330,77.0
SMART #1,330,62.0
MG MARVEL R PERFORMANCE,330,65.0
SKODA ENYAQ IV 60,325,58.0
NISSAN ARIYA 63KWH,320,63.0
SUBARU SOLTERRA AWD,320,64.0
SMART #1 BRABUS,320,62.0
BYD ATTO 3,320,60.0
RENAULT ZOE ZE50 R110,315,52.0
AIWAYS U5,315,60.0
OPEL ASTRA ELECTRIC,310,50.8
PEUGEOT E-208,310,290,48.1,46.3
MERCEDES EVITO TOURER LONG 90 KWH,310,90.0
LEXUS RZ 450E,310,64.0
RENAULT ZOE ZE50 R135,310,52.0
PEUGEOT E-308,310,50.8
MERCEDES EQV 300 EXTRA-LONG,305,90.0
MERCEDES EVITO TOURER EXTRA-LONG 90 KWH,305,90.0
KIA EV6 STANDARD RANGE 2WD,305,54.0
HONGQI E-HS9 84 KWH,305,76.5
MERCEDES EQV 300 LONG,305,90.0
OPEL ASTRA SPORTS TOURER ELECTRIC,300,50.8
JEEP AVENGER ELECTRIC,300,50.8
HYUNDAI KONA ELECTRIC 48 KWH,300,48.4
MG MG4 ELECTRIC 51 KWH,300,50.8
PEUGEOT E-308 SW,300,50.8
DS 3 E-TENSE,300,50.8
JEEP AVENGER ELECTRIC 1ST EDITION,295,50.8
AUDI Q4 SPORTBACK E-TRON 35,295,52.0
OPEL CORSA-E,295,46.3
HYUNDAI IONIQ 5 STANDARD RANGE 2WD,295,54.0
SSANGYONG KORANDO E-MOTION,290,56.0
VOLKSWAGEN ID.4 PURE PERFORMANCE,285,52.0
AUDI Q4 E-TRON 35,285,52.0
VOLKSWAGEN ID.4 PURE,285,52.0
CITROEN E-C4,275,46.3
CITROEN E-C4 X,275,46.3
MG ZS EV STANDARD RANGE,270,49.0
CITROEN E-JUMPY COMBI M 75 KWH,265,68.0
CITROEN E-SPACETOURER M 75 KWH,265,68.0
OPEL VIVARO-E COMBI M 75 KWH,265,68.0
OPEL ZAFIRA-E LIFE M 75 KWH,265,68.0
PEUGEOT E-EXPERT COMBI STANDARD 75 KWH,265,68.0
PEUGEOT E-TRAVELLER STANDARD 75 KWH,265,68.0
MG MG5 ELECTRIC STANDARD RANGE,265,46.0
FIAT E-ULYSSE L2 75 KWH,265,68.0
TOYOTA PROACE VERSO M 75 KWH,265,68.0
SERES 3,260,51.0
PEUGEOT E-2008 SUV,260,46.3
OPEL MOKKA-E,260,46.3
CITROEN E-JUMPY COMBI XL 75 KWH,260,68.0
CITROEN E-SPACETOURER XL 75 KWH,260,68.0
OPEL VIVARO-E COMBI L 75 KWH,260,68.0
OPEL ZAFIRA-E LIFE L 75 KWH,260,68.0
PEUGEOT E-EXPERT COMBI LONG 75 KWH,260,68.0
PEUGEOT E-TRAVELLER LONG 75 KWH,260,68.0
TOYOTA PROACE SHUTTLE M 75 KWH,260,68.0
TOYOTA PROACE SHUTTLE L 75 KWH,260,68.0
FIAT E-ULYSSE L3 75 KWH,260,68.0
TOYOTA PROACE VERSO L 75 KWH,260,68.0
ORA FUNKY CAT 48 KWH,260,45.4
RENAULT MEGANE E-TECH EV40 130HP,250,40.0
