id_station_itinerance,consolidated_longitude,consolidated_latitude,nbre_pdc,puissance_nominale
FRSIGPSIGE35411,2.25776,48.9895,1,22000
FRSIGPSIGE38311,2.2633,48.9701,2,7000
FRSIGPSIGE33711,2.1996,49.0108,1,22000
FRSIGPSIGE40012,2.1552,49.0194,2,7000
FRSIGPSIGE39612,2.2424,49.0158,2,22000
FRSIGPSIGE39711,2.16317,49.0203,2,22000
FRSIGPSIGE39811,2.1413,49.0223,2,22000
FRSIGPSIGE39911,2.15733,49.0218,2,7000
FRSIGPSIGE40111,2.1991,48.9966,2,22000
FRSIGPSIGE40211,2.18857,48.9854,2,22000
FRSIGPSIGE40411,2.20313,48.994,2,22000
FRSIGPSIGE29211,2.325135,48.975383,2,22000
FRSIGPSIGE29112,2.514428,49.003741,2,22000
FRSIGPSIGE29012,2.392918,49.004398,2,22000
FRSIGPSIGE39512,2.24271,49.0197,2,22000
FRSIGPSIGE39412,2.25216,49.0132,2,22000
FRSIGPSIGE38511,2.2661,48.9686,2,22000
FRSIGPSIGE38611,2.24037,48.9686,2,22000
FRSIGPSIGE38711,2.2562,48.9761,2,22000
FRSIGPSIGE38911,2.2521,49.0236,2,22000
FRSIGPSIGE39011,2.24848,49.0193,2,22000
FRSIGPSIGE39111,2.24591,49.0186,2,22000
FRSIGPSIGE39211,2.238,49.0107,2,22000
FRSIGPSIGE39311,2.2484,49.0057,2,22000
FRSIGPSIGE33811,2.19769,49.0097,1,22000
FRSIGPSIGE33612,2.2001,48.9835,2,22000
FRSIGPSIGE28912,2.413664,49.000478,2,22000
FRSIGPSIGE30721,2.270501,48.752064,2,22000
FRSIGPSIGE30411,2.146948,48.944501,2,22000
FRSIGPSIGE30511,2.486793,48.872049,2,22000
FRSIGPSIGE30611,2.213465,48.86188,2,24000
FRSIGPSIGE31212,2.330149,48.760628,2,22000
FRSIGPSIGE30811,2.484066,48.871722,2,24000
FRSIGPSIGE30911,2.457298,49.02965,2,24000
FRSIGPSIGE31011,2.47388,49.031974,2,24000
FRSIGPSIGE31111,2.640961,48.869794,2,24000
FRSIGPSIGE30312,2.141333,48.766087,2,22000
FRSIGPSIGE29311,2.04919,48.814008,2,22000
FRSIGPSIGE30211,2.315636,48.80169,2,24000
FRSIGPSIGE30112,2.335975,48.935119,2,24000
FRSIGPSIGE30012,2.344589,48.989537,2,22000
FRSIGPSIGE29912,2.351968,48.986303,2,22000
FRSIGPSIGE29812,2.150202,48.959082,2,22000
FRSIGPSIGE29722,2.320078,48.792163,2,24000
FRSIGPSIGE29612,2.241634,48.832916,2,50000
FRSIGPSIGE29512,2.324662,48.961764,2,24000
FRSIGPSIGE29412,2.314644,48.965435,2,22000
FRSIGPSIGE31311,2.640491,48.873308,2,24000
FRSIGPSIGE32912,2.205439,48.976037,2,22000
